Hanja	Reading(s)	Meaning(s)	Grade
距	거, 거	상거할, 막을	3
乾	건, 건, 간	하늘, 마를, 마를	3
劍	검	칼	3
隔	격	사이 뜰	3
訣	결, 계	이별할, 결정할	3
謙	겸, 혐	겸손할, 혐의	3
兼	겸	겸할	3
頃	경, 경, 규	이랑, 잠깐, 반걸음	3
耕	경	밭 갈	3
硬	경, 경	굳을, 가로막을	3
徑	경, 경	지름길, 길	3
溪	계	시내	3
械	계	기계	3
桂	계	계수나무	3
契	계, 결, 글, 설	맺을, 애쓸, 부족 이름, 사람 이름	3
啓	계	열	3
鼓	고	북	3
稿	고, 고	볏짚, 원고	3
姑	고	시어머니	3
谷	곡, 곡, 욕, 록(녹)	골, 곡식, 나라 이름, 벼슬 이름	3
哭	곡	울	3
貢	공	바칠	3
恭	공	공손할	3
恐	공	두려울	3
供	공	이바지할	3
誇	과, 후, 구	자랑할, 아름다울, 노래할	3
寡	과	적을	3
館	관	집	3
貫	관, 만	꿸, 당길	3
慣	관	익숙할	3
寬	관	너그러울	3
冠	관	갓	3
狂	광, 곽	미칠, 개 달릴	3
怪	괴	괴이할	3
壞	괴, 회	무너질, 앓을	3
較	교, 교, 각	견줄, 비교할, 차이	3
巧	교	공교할	3
拘	구	잡을	3
久	구	오랠	3
丘	구	언덕	3
菊	국	국화	3
弓	궁	활	3
拳	권	주먹	3
鬼	귀	귀신	3
菌	균, 훤, 권	버섯, 버섯, 버섯	3
克	극	이길	3
錦	금	비단	3
禽	금	새	3
琴	금	거문고	3
及	급	미칠	3
騎	기	말 탈	3
祈	기, 궤	빌, 산제사	3
畿	기	경기	3
其	기	그	3
企	기	꾀할	3
緊	긴	긴할	3
娘	낭(랑)	여자	3
耐	내, 능	견딜, 능할	3
奴	노	종	3
腦	뇌, 뇌	골, 뇌수	3
泥	니(이), 녈(열)	진흙, 물들일	3
茶	다, 차	차, 차	3
旦	단	아침	3
但	단, 탄	다만, 거짓	3
丹	단, 란(난)	붉을, 정성스러울	3
淡	담, 염	맑을, 질펀히 흐를	3
踏	답	밟을	3
糖	당, 탕	엿, 엿	3
唐	당, 당	당나라, 당황할	3
貸	대, 대, 특	빌릴, 꿀, 틀릴	3
臺	대	대	3
陶	도, 요	질그릇, 사람 이름	3
途	도	길	3
渡	도	건널	3
桃	도	복숭아	3
刀	도	칼	3
倒	도	넘어질	3
突	돌	갑자기	3
凍	동	얼	3
絡	락(낙), 락(낙)	이을, 얽을	3
蘭	란(난)	난초	3
欄	란(난), 련(연)	난간, 나무 이름	3
郞	랑(낭)	사내	3
浪	랑(낭)	물결	3
廊	랑(낭), 랑(낭)	사랑채, 행랑	3
涼	량(양)	서늘할	3
梁	량(양)	들보	3
勵	려(여)	힘쓸	3
曆	력(역)	책력	3
鍊	련(연), 련(연)	불릴, 단련할	3
蓮	련(연)	연꽃	3
聯	련(연)	연이을	3
戀	련(연), 련(연)	그리워할, 그릴	3
裂	렬(열)	찢을	3
靈	령(영)	신령	3
嶺	령(영)	고개	3
露	로(노)	이슬	3
爐	로(노)	화로	3
祿	록(녹)	녹	3
弄	롱(농)	희롱할	3
雷	뢰(뇌)	우레	3
賴	뢰(뇌)	의뢰할	3
累	루(누), 루(누), 라(나), 렵(엽)	여러, 자주, 벌거벗을, 땅 이름	3
漏	루(누)	샐	3
倫	륜(윤)	인륜	3
率	률(율), 솔, 수	비율, 거느릴, 우두머리	3
栗	률(율), 률(율), 렬(열)	밤, 두려워할, 찢을	3
隆	륭(융)	높을	3
陵	릉(능)	언덕	3
裏	리(이)	속	3
履	리(이), 리(이)	밟을, 신	3
吏	리(이), 리(이)	벼슬아치, 관리	3
臨	림(임)	임할	3
麻	마	삼	3
磨	마	갈	3
莫	막, 모, 멱	없을, 저물, 덮을	3
漠	막, 막	넓을, 사막	3
幕	막, 만	장막, 화폐의 뒷면	3
晩	만	늦을	3
妄	망	망령될	3
梅	매	매화	3
媒	매	중매	3
麥	맥	보리	3
盟	맹	맹세	3
盲	맹, 맹, 망	소경, 눈 멀, 바라볼	3
猛	맹	사나울	3
孟	맹	맏	3
綿	면, 면	솜, 이어질	3
眠	면, 민	잘, 볼	3
免	면, 문	면할, 해산할	3
滅	멸, 멸	꺼질, 멸할	3
銘	명	새길	3
貌	모, 막	모양, 모사할	3
謀	모	꾀	3
慕	모	그릴	3
睦	목	화목할	3
沒	몰	빠질	3
蒙	몽	어두울	3
夢	몽	꿈	3
貿	무	무역할	3
茂	무	무성할	3
默	묵	잠잠할	3
墨	묵, 미	먹, 교활할	3
紋	문	무늬	3
勿	물, 몰	말, 털	3
微	미	작을	3
尾	미	꼬리	3
迫	박	핍박할	3
薄	박, 벽, 보	엷을, 동자기둥, 풀 이름	3
飯	반	밥	3
般	반, 반	가지, 일반	3
盤	반	소반	3
拔	발, 패	뽑을, 무성할	3
芳	방	꽃다울	3
輩	배	무리	3
排	배, 배	밀칠, 풀무	3
培	배, 부, 배	북을 돋울, 언덕, 탈	3
伯	백, 패, 맥	맏, 우두머리, 길	3
繁	번, 반, 파, 민	번성할, 뱃대끈, 흴, 날렵할	3
凡	범	무릇	3
碧	벽	푸를	3
丙	병, 병	남녘, 셋째 천간	3
譜	보	족보	3
補	보, 보	기울, 도울	3
覆	복, 부	다시, 덮을	3
腹	복	배	3
鳳	봉	봉새	3
逢	봉	만날	3
峯	봉	봉우리	3
封	봉	봉할	3
賦	부	부세	3
腐	부	썩을	3
簿	부, 박, 박	문서, 잠박, 얇을	3
符	부	부호	3
浮	부	뜰	3
扶	부, 포	도울, 기어갈	3
付	부	줄	3
附	부	붙을	3
紛	분	어지러울	3
奮	분	떨칠	3
奔	분	달릴	3
拂	불, 필	떨칠, 도울	3
肥	비	살찔	3
婢	비	여자 종	3
妃	비, 배	왕비, 짝지을	3
卑	비	낮을	3
邪	사, 야, 여, 서	간사할, 그런가, 나머지, 느릿할	3
詞	사, 사	말, 글	3
蛇	사, 이	긴 뱀, 구불구불 갈	3
祀	사	제사	3
沙	사, 사, 사	모래, 봉황, 목 쉴	3
斜	사, 야	비낄, 골짜기 이름	3
司	사	맡을	3
削	삭, 소, 초	깎을, 채지, 칼집	3
森	삼	수풀	3
霜	상	서리	3
詳	상, 양	자세할, 거짓	3
裳	상	치마	3
桑	상	뽕나무	3
尙	상	오히려	3
喪	상	잃을	3
償	상	갚을	3
像	상	모양	3
索	색, 삭	찾을, 노	3
塞	색, 새	막힐, 변방	3
署	서	마을	3
緖	서, 사	실마리, 나머지	3
恕	서	용서할	3
徐	서	천천히 할	3
釋	석, 역	풀, 기뻐할	3
惜	석	아낄	3
禪	선	선	3
旋	선	돌	3
訴	소, 척	호소할, 헐뜯을	3
蘇	소, 소	되살아날, 차조기	3
疏	소	소통할	3
燒	소	사를	3
訟	송, 용	송사할, 용납할	3
鎖	쇄	쇠사슬	3
刷	쇄	인쇄할	3
衰	쇠, 최, 사	쇠할, 상옷, 도롱이	3
需	수, 수, 연	쓰일, 쓸, 연할	3
隨	수, 타	따를, 게으를	3
輸	수	보낼	3
獸	수	짐승	3
殊	수	다를	3
愁	수, 추	근심, 모을	3
帥	수, 솔	장수, 거느릴	3
壽	수	목숨	3
垂	수	드리울	3
熟	숙	익을	3
淑	숙	맑을	3
瞬	순	깜짝일	3
旬	순, 균	열흘, 부역	3
巡	순, 순, 연	돌, 순행할, 따를	3
述	술	펼	3
襲	습	엄습할	3
拾	습, 십, 겁, 섭	주울, 열, 바꿀, 오를	3
濕	습, 합, 답	젖을, 나라 이름, 물 이름	3
昇	승	오를	3
僧	승	중	3
乘	승	탈	3
侍	시	모실	3
飾	식, 칙	꾸밀, 경계할	3
愼	신, 진	삼갈, 땅 이름	3
甚	심	심할	3
審	심, 반	살필, 빙빙 돌	3
雙	쌍, 쌍	두, 쌍	3
雅	아, 아	맑을, 바를	3
阿	아, 옥	언덕, 호칭	3
芽	아	싹	3
牙	아	어금니	3
我	아	나	3
亞	아, 압	버금, 누를	3
顔	안	낯	3
岸	안	언덕	3
巖	암	바위	3
央	앙, 영	가운데, 선명한 모양	3
仰	앙	우러를	3
哀	애	슬플	3
若	약, 야	같을, 반야	3
讓	양	사양할	3
揚	양	날릴	3
壤	양	흙덩이	3
御	어, 어, 아	거느릴, 막을, 맞을	3
抑	억	누를	3
憶	억	생각할	3
驛	역	역	3
譯	역	번역할	3
疫	역	전염병	3
役	역	부릴	3
亦	역, 액	또, 겨드랑이	3
軟	연	연할	3
燕	연	제비	3
沿	연, 연	물 따라갈, 따를	3
宴	연	잔치	3
悅	열	기쁠	3
鹽	염	소금	3
炎	염, 담	불꽃, 아름다울	3
染	염	물들	3
影	영	그림자	3
譽	예, 예	기릴, 명예	3
烏	오, 아	까마귀, 나라 이름	3
悟	오	깨달을	3
獄	옥	옥	3
瓦	와	기와	3
緩	완	느릴	3
辱	욕	욕될	3
欲	욕	하고자 할	3
慾	욕	욕심	3
羽	우, 호	깃, 늦출	3
憂	우	근심	3
愚	우	어리석을	3
宇	우	집	3
偶	우	짝	3
韻	운	운	3
越	월, 활	넘을, 부들자리	3
僞	위, 와	거짓, 잘못 될	3
謂	위	이를	3
胃	위	밥통	3
誘	유	꾈	3
裕	유	넉넉할	3
維	유	벼리	3
猶	유, 요	오히려, 움직일	3
柔	유	부드러울	3
悠	유	멀	3
幽	유, 유	그윽할, 검을	3
幼	유, 요	어릴, 그윽할	3
潤	윤, 윤	불을, 윤택할	3
乙	을	새	3
淫	음, 음, 요, 염	음란할, 장마, 요수, 강 이름	3
已	이	이미	3
翼	익	날개	3
忍	인	참을	3
逸	일, 일	편안할, 달아날	3
賃	임	품삯	3
壬	임	북방	3
紫	자	자줏빛	3
慈	자	사랑	3
刺	자, 척, 라(나), 체	찌를, 찌를, 수라, 비방할	3
潛	잠	잠길	3
暫	잠	잠깐	3
藏	장	감출	3
葬	장	장사 지낼	3
莊	장, 장	씩씩할, 전장	3
臟	장	오장	3
粧	장	단장할	3
掌	장	손바닥	3
丈	장	어른	3
載	재, 대	실을, 떠받들	3
裁	재	마를	3
栽	재	심을	3
著	저, 착	나타날, 붙을	3
抵	저, 지	막을, 칠	3
蹟	적	자취	3
跡	적	발자취	3
笛	적	피리	3
摘	적	딸	3
寂	적	고요할	3
殿	전	전각	3
漸	점, 점	점점, 적실	3
頂	정	정수리	3
淨	정	깨끗할	3
征	정, 징	칠, 부를	3
廷	정	조정	3
亭	정	정자	3
井	정	우물	3
貞	정	곧을	3
諸	제, 저, 저	모두, 김치, 어조사	3
齊	제, 재, 자, 전	가지런할, 재계할, 옷자락, 자를	3
租	조, 저	조세, 쌀	3
照	조	비칠	3
兆	조	조	3
縱	종, 총	세로, 바쁠	3
坐	좌	앉을	3
鑄	주	불릴	3
珠	주	구슬	3
洲	주	물가	3
株	주	그루	3
柱	주, 주	기둥, 버틸	3
宙	주	집	3
奏	주	아뢸	3
仲	중	버금	3
卽	즉	곧	3
蒸	증	찔	3
症	증, 징	증세, 적취	3
曾	증	일찍	3
憎	증	미울	3
池	지, 타, 철	못, 강 이름, 제거할	3
枝	지, 기	가지, 육손이	3
之	지	갈	3
震	진, 신	우레, 애 밸	3
陳	진, 진	베풀, 묵을	3
鎭	진, 전	진압할, 메울	3
辰	진, 신	별, 때	3
振	진	떨칠	3
秩	질	차례	3
疾	질	병	3
執	집	잡을	3
徵	징, 치	부를, 음률 이름	3
此	차	이	3
借	차	빌릴	3
錯	착, 조	어긋날, 둘	3
贊	찬	도울	3
蒼	창	푸를	3
昌	창	창성할	3
倉	창	곳집	3
菜	채	나물	3
彩	채	채색	3
債	채	빚	3
策	책, 책	꾀, 채찍	3
妻	처	아내	3
拓	척, 척, 탁	넓힐, 주울, 박을	3
戚	척, 척, 촉	친척, 근심할, 재촉할	3
尺	척	자	3
遷	천	옮길	3
踐	천	밟을	3
賤	천	천할	3
淺	천, 전	얕을, 물을 끼얹을	3
徹	철	통할	3
哲	철	밝을	3
滯	체	막힐	3
超	초	뛰어넘을	3
肖	초, 초, 소	닮을, 같을, 꺼질	3
礎	초	주춧돌	3
觸	촉	닿을	3
促	촉, 착	재촉할, 악착스러울	3
催	최	재촉할	3
追	추, 추, 퇴, 수	쫓을, 따를, 갈, 따를	3
畜	축, 축, 휵	짐승, 쌓을, 기를	3
衝	충, 종	찌를, 뒤얽힐	3
醉	취	취할	3
吹	취	불	3
側	측	곁	3
稚	치	어릴	3
恥	치	부끄러울	3
値	치	값	3
漆	칠, 칠, 철	옻, 일곱, 삼갈	3
浸	침	잠길	3
沈	침, 심	잠길, 성씨	3
奪	탈, 태	빼앗을, 좁은 길	3
塔	탑	탑	3
湯	탕, 상, 양	끓일, 물이 세차게 흐를, 해돋이	3
泰	태	클	3
殆	태, 태	거의, 위태할	3
澤	택, 석, 역, 탁	못, 풀, 전국술, 별 이름	3
兔	토	토끼	3
吐	토	토할	3
透	투, 숙	사무칠, 놀랄	3
版	판	판목	3
片	편, 반	조각, 절반	3
偏	편	치우칠	3
編	편, 변	엮을, 땋을	3
肺	폐, 패	허파, 성할	3
弊	폐, 폐, 별	폐단, 해질, 닦을	3
廢	폐, 폐	폐할, 버릴	3
浦	포	개	3
捕	포	잡을	3
楓	풍	단풍	3
被	피	입을	3
皮	피	가죽	3
彼	피	저	3
畢	필	마칠	3
賀	하	하례할	3
荷	하, 하, 가	멜, 꾸짖을, 잗달	3
何	하, 하, 하	어찌, 꾸짖을, 멜	3
鶴	학, 학	학, 흴	3
汗	한, 간	땀, 현 이름	3
割	할	벨	3
陷	함	빠질	3
含	함	머금을	3
項	항	항목	3
恒	항, 긍	항상, 반달	3
響	향	울릴	3
獻	헌, 사, 의	드릴, 술두루미, 위의 있을	3
玄	현	검을	3
懸	현	달	3
穴	혈, 휼	구멍, 굴	3
脅	협, 협	위협할, 겨드랑이	3
衡	형, 횡	저울대, 가로	3
慧	혜	슬기로울	3
豪	호	호걸	3
虎	호	범	3
胡	호, 호, 호	되, 오랑캐 이름, 수염	3
浩	호, 고	넓을, 술 거를	3
惑	혹	미혹할	3
魂	혼	넋	3
忽	홀	갑자기	3
洪	홍	넓을	3
禍	화	재앙	3
還	환, 선	돌아올, 돌	3
換	환	바꿀	3
荒	황, 강	거칠, 공허할	3
皇	황, 왕	임금, 갈	3
懷	회	품을	3
悔	회	뉘우칠	3
獲	획, 확	얻을, 실심할	3
劃	획	그을	3
橫	횡, 광	가로, 빛	3
胸	흉	가슴	3
戲	희, 호, 휘	놀이, 서러울, 기	3
稀	희	드물	3
却	각	물리칠	3
姦	간	간음할	3
渴	갈, 걸, 할	목마를, 물 잦을, 물 거슬러 흐를	3
皆	개	다	3
慨	개	슬퍼할	3
乞	걸, 기	빌, 줄	3
遣	견	보낼	3
肩	견, 흔	어깨, 여위고 약할	3
絹	견	비단	3
牽	견, 견	이끌, 끌	3
竟	경	마침내	3
庚	경	별	3
卿	경	벼슬	3
繫	계	맬	3
癸	계, 계	북방, 열째 천간	3
顧	고	돌아볼	3
枯	고	마를	3
坤	곤	땅	3
郭	곽, 곽	둘레, 외성	3
掛	괘	걸	3
愧	괴	부끄러울	3
塊	괴	덩어리	3
郊	교	들	3
矯	교	바로잡을	3
龜	구, 귀, 균	땅 이름, 거북, 터질	3
驅	구	몰	3
苟	구, 구	진실로, 구차할	3
狗	구	개	3
懼	구	두려워할	3
俱	구, 구	함께, 갖출	3
厥	궐	그	3
軌	궤	바퀴 자국	3
糾	규, 교	얽힐, 삿갓 가뜬할	3
叫	규	부르짖을	3
謹	근	삼갈	3
斤	근, 근	근, 도끼	3
僅	근	겨우	3
肯	긍, 개	즐길, 뼈 사이의 살	3
飢	기	주릴	3
豈	기, 개	어찌, 개가	3
欺	기	속일	3
棄	기	버릴	3
旣	기, 희	이미, 쌀	3
忌	기	꺼릴	3
幾	기	몇	3
那	나, 내	어찌, 어조사	3
奈	내, 나	어찌, 어찌	3
乃	내, 애	이에, 노 젓는 소리	3
惱	뇌	번뇌할	3
畓	답	논	3
跳	도, 조	뛸, 뛸	3
稻	도	벼	3
挑	도	돋울	3
塗	도, 도	칠할, 길	3
篤	독	도타울	3
豚	돈	돼지	3
敦	돈, 퇴, 대, 단, 조, 도	도타울, 다스릴, 제기, 모일, 아로새길, 덮을	3
鈍	둔	둔할	3
屯	둔, 준	진칠, 어려울	3
騰	등	오를	3
濫	람(남), 함	넘칠, 동이	3
掠	략(약)	노략질할	3
諒	량(양), 량(양)	살펴 알, 믿을	3
憐	련(연), 린(인)	불쌍히 여길, 이웃	3
劣	렬(열)	못할	3
廉	렴(염), 렴(염)	청렴할, 살필	3
獵	렵(엽)	사냥	3
零	령(영), 령(영), 련(연)	떨어질, 영, 종족 이름	3
隷	례(예), 이, 대	종, 미칠, 미칠	3
鹿	록(녹)	사슴	3
僚	료(요), 료(요)	동료, 예쁠	3
了	료(요), 료(요)	마칠, 밝을	3
淚	루(누), 려(여)	눈물, 물이 빠르게 흐르는 모양	3
屢	루(누)	여러	3
梨	리(이)	배나무	3
隣	린(인)	이웃	3
漫	만	흩어질	3
慢	만	거만할	3
茫	망, 황	아득할, 황홀할	3
罔	망, 망	그물, 없을	3
忙	망	바쁠	3
忘	망	잊을	3
埋	매	묻을	3
冥	명, 면	어두울, 어두울	3
某	모, 매	아무, 매화	3
暮	모	저물	3
募	모, 모	모을, 뽑을	3
冒	모, 묵	무릅쓸, 선우 이름	3
侮	모	업신여길	3
苗	묘	모	3
廟	묘	사당	3
卯	묘, 묘	토끼, 넷째 지지	3
霧	무	안개	3
戊	무, 모	천간, 창	3
迷	미	미혹할	3
眉	미	눈썹	3
敏	민	민첩할	3
憫	민	민망할	3
蜜	밀	꿀	3
泊	박, 박, 백	머무를, 배 댈, 잔 물결	3
返	반	돌이킬	3
叛	반	배반할	3
伴	반	짝	3
邦	방	나라	3
傍	방	곁	3
倣	방	본뜰	3
杯	배	잔	3
飜	번, 번	번역할, 날	3
煩	번	번거로울	3
辨	변, 판, 편, 폄	분별할, 갖출, 두루, 깎아내릴	3
竝	병, 방, 반	나란히, 곁, 짝할	3
屛	병	병풍	3
卜	복, 복, 짐	점, 무, 짐바리	3
蜂	봉	벌	3
赴	부, 부	다다를, 갈	3
墳	분	무덤	3
朋	붕	벗	3
崩	붕	무너질	3
頻	빈	자주	3
賓	빈	손	3
聘	빙	부를	3
賜	사	줄	3
詐	사	속일	3
斯	사, 사	이, 천할	3
捨	사	버릴	3
巳	사	뱀	3
似	사	닮을	3
朔	삭	초하루	3
祥	상	상서	3
嘗	상	맛볼	3
逝	서	갈	3
誓	서	맹세할	3
暑	서	더울	3
敍	서, 서	펼, 차례	3
庶	서, 자	여러, 제거할	3
析	석, 사	쪼갤, 처녑	3
昔	석, 착	예, 섞일	3
涉	섭, 첩	건널, 피 흐르는 모양	3
攝	섭, 섭, 녑(엽), 삽	다스릴, 잡을, 편안할, 깃 꾸미개	3
騷	소	떠들	3
蔬	소	나물	3
昭	소, 조	밝을, 비출	3
召	소, 조	부를, 대추	3
粟	속	조	3
誦	송	외울	3
須	수, 수	모름지기, 수염	3
雖	수, 유	비록, 짐승 이름	3
遂	수, 수	드디어, 따를	3
誰	수	누구	3
睡	수	졸음	3
搜	수, 소	찾을, 어지러울	3
囚	수	가둘	3
孰	숙, 숙	누구, 익을	3
脣	순, 민	입술, 꼭 맞을	3
殉	순	따라 죽을	3
循	순	돌	3
戌	술, 술	개, 열한째 지지	3
矢	시	화살	3
辛	신	매울	3
晨	신	새벽	3
伸	신	펼	3
尋	심	찾을	3
餓	아	주릴	3
岳	악	큰 산	3
雁	안	기러기	3
謁	알	뵐	3
押	압, 갑	누를, 단속할	3
殃	앙	재앙	3
涯	애	물가	3
厄	액	액	3
耶	야, 사	어조사, 간사할	3
也	야, 야, 이	잇기, 어조사, 잇달을	3
躍	약, 적	뛸, 빨리 달릴	3
楊	양	버들	3
於	어, 오, 우	어조사, 탄식할, 어조사	3
焉	언, 이	어찌, 오랑캐	3
汝	여	너	3
余	여, 여	나, 남을	3
予	여, 여, 예	나, 줄, 미리	3
輿	여, 예	수레, 명예	3
閱	열, 열	볼, 셀	3
泳	영	헤엄칠	3
詠	영	읊을	3
銳	예, 태	날카로울, 창	3
汚	오, 우, 와	더러울, 구부릴, 팔	3
娛	오	즐길	3
嗚	오	슬플	3
吾	오, 어, 아	나, 친하지 않을, 땅 이름	3
傲	오	거만할	3
翁	옹	늙은이	3
擁	옹	낄	3
臥	와	누울	3
曰	왈	가로	3
畏	외	두려워할	3
遙	요	멀	3
腰	요	허리	3
搖	요	흔들	3
庸	용, 용	떳떳할, 쓸	3
尤	우	더욱	3
又	우	또	3
于	우, 휴	어조사, 이지러질	3
云	운, 운	이를, 구름	3
違	위	어긋날	3
緯	위	씨	3
酉	유, 유	닭, 열째 지지	3
愈	유, 투	나을, 구차할	3
惟	유	생각할	3
唯	유, 수	오직, 누구	3
閏	윤	윤달	3
吟	음, 금	읊을, 입 다물	3
泣	읍, 립(입), 삽	울, 바람 빠를, 원활하지 않을	3
凝	응	엉길	3
矣	의	어조사	3
宜	의	마땅	3
夷	이	오랑캐	3
而	이, 능	말 이을, 능히	3
寅	인, 인	범, 세째 지지	3
姻	인, 인	혼인, 시집갈	3
玆	자, 자, 현	이, 검을, 검을	3
恣	자, 자	마음대로, 방자할	3
酌	작, 작	술 부을, 잔질할	3
爵	작	벼슬	3
墻	장	담	3
宰	재	재상	3
哉	재	어조사	3
滴	적	물방울	3
竊	절	훔칠	3
蝶	접	나비	3
訂	정	바로잡을	3
堤	제, 시	둑, 대개	3
燥	조	마를	3
弔	조, 적	조상할, 이를	3
拙	졸	옹졸할	3
佐	좌	도울	3
舟	주	배	3
遵	준	좇을	3
俊	준, 순	준걸, 순임금	3
贈	증	줄	3
遲	지, 지	더딜, 늦을	3
只	지, 척	다만, 외짝	3
姪	질	조카	3
懲	징	징계할	3
且	차, 저, 조	또, 공경스러울, 도마	3
捉	착	잡을	3
慙	참	부끄러울	3
慘	참, 조	참혹할, 우울해질	3
暢	창	화창할	3
斥	척, 탁, 자	물리칠, 방자할, 성씨	3
薦	천, 진	천거할, 꽂을	3
添	첨	더할	3
尖	첨	뾰족할	3
妾	첩	첩	3
晴	청	갤	3
遞	체, 대	갈릴, 두를	3
逮	체, 태	잡을, 탈	3
替	체, 참	바꿀, 참람할	3
秒	초, 묘	분초, 까끄라기	3
抄	초, 초	뽑을, 두벌갈이할	3
燭	촉	촛불	3
聰	총	귀 밝을	3
醜	추	추할	3
抽	추	뽑을	3
逐	축, 돈, 적	쫓을, 돼지, 급급한 모양	3
丑	축, 추	소, 추할	3
臭	취, 후	냄새, 맡을	3
枕	침	베개	3
妥	타	온당할	3
墮	타, 휴	떨어질, 무너뜨릴	3
濯	탁, 도	씻을, 상앗대	3
濁	탁	흐릴	3
托	탁	맡길	3
誕	탄, 탄	낳을, 거짓	3
貪	탐	탐낼	3
怠	태, 이	게으를, 안락할	3
頗	파	자못	3
罷	파, 피	마칠, 고달플	3
播	파	뿌릴	3
把	파, 파	잡을, 긁을	3
販	판	팔	3
貝	패	조개	3
遍	편	두루	3
蔽	폐, 별	덮을, 닦을	3
幣	폐	화폐	3
飽	포	배부를	3
抱	포, 포	안을, 던질	3
幅	폭, 핍, 복	폭, 행전, 두건	3
漂	표	떠다닐	3
匹	필, 목, 비	짝, 집오리, 비유할	3
旱	한	가물	3
咸	함, 함, 감	다, 짤, 덜	3
巷	항	거리	3
該	해, 해	갖출, 마땅	3
奚	해	어찌	3
亥	해	돼지	3
享	향, 팽	누릴, 삶을	3
軒	헌	집	3
縣	현, 현	고을, 매달	3
絃	현	줄	3
嫌	혐	싫어할	3
螢	형	반딧불	3
亨	형, 향, 팽	형통할, 드릴, 삶을	3
兮	혜	어조사	3
毫	호	터럭	3
互	호	서로	3
乎	호	어조사	3
昏	혼, 민	어두울, 힘쓸	3
鴻	홍, 홍	기러기, 원기	3
弘	홍	클	3
禾	화, 수	벼, 말 이빨의 수효	3
擴	확, 황	넓힐, 북칠	3
穫	확, 호	거둘, 땅 이름	3
丸	환	둥글	3
曉	효	새벽	3
侯	후, 혜	제후, 어조사	3
毁	훼	헐	3
輝	휘	빛날	3
携	휴	이끌	3
葛	갈	칡	2
憾	감, 담	섭섭할, 근심할	2
坑	갱, 강, 항	구덩이, 산등성이, 구들	2
揭	게, 게, 갈, 걸	높이 들, 걸, 질, 세울	2
憩	게	쉴	2
雇	고, 호	품 팔, 뻐꾸기	2
菓	과, 과	과자, 실과	2
瓜	과	오이	2
戈	과	창	2
款	관, 관	항목, 정성	2
傀	괴, 괴, 회	허수아비, 클, 클	2
膠	교, 호, 뇨(요)	아교, 어긋날, 어지러운 모양	2
絞	교, 효	목맬, 초록빛	2
僑	교, 교	더부살이, 높을	2
鷗	구	갈매기	2
購	구	살	2
歐	구, 구	구라파, 칠	2
窟	굴	굴	2
掘	굴, 궐, 졸	팔, 뚫을, 서투를	2
圈	권, 권	우리, 술잔	2
闕	궐	대궐	2
閨	규	안방	2
棋	기	바둑	2
濃	농	짙을	2
尿	뇨(요)	오줌	2
尼	니(이), 닐(일)	여승, 말릴	2
溺	닉(익), 뇨(요), 약	빠질, 오줌, 약할	2
鍛	단	불릴	2
膽	담	쓸개	2
潭	담, 심	못, 물가	2
戴	대	일	2
垈	대	집터	2
悼	도	슬퍼할	2
棟	동	마룻대	2
桐	동	오동나무	2
謄	등	베낄	2
藤	등	등나무	2
裸	라(나)	벗을	2
洛	락(낙)	물 이름	2
爛	란(난), 란(난)	빛날, 문드러질	2
藍	람(남), 감	쪽, 볼	2
拉	랍(납)	끌	2
輛	량(양)	수레	2
煉	련(연)	달굴	2
籠	롱(농)	대바구니	2
療	료(요), 삭	병 고칠, 병	2
謬	류(유)	그르칠	2
硫	류(유)	유황	2
魔	마	마귀	2
痲	마	저릴	2
摩	마	문지를	2
膜	막, 막, 모	꺼풀, 막, 오랑캐 절	2
蠻	만	오랑캐	2
灣	만, 탄	물굽이, 물에 적셨다 말릴	2
娩	만, 반	낳을, 번식할	2
網	망	그물	2
魅	매, 매, 미	매혹할, 도깨비, 도깨비	2
枚	매	낱	2
蔑	멸	업신여길	2
矛	모	창	2
帽	모	모자	2
沐	목	머리 감을	2
紊	문, 문	어지러울, 문란할	2
舶	박	배	2
搬	반	옮길	2
紡	방	길쌈	2
賠	배	물어줄	2
俳	배, 배	배우, 어정거릴	2
柏	백	측백	2
閥	벌	문벌	2
汎	범, 핍, 풍	넓을, 소리 가늘, 물소리	2
僻	벽, 피	궁벽할, 피할	2
倂	병	아우를	2
縫	봉	꿰맬	2
俸	봉	녹	2
膚	부	살갗	2
敷	부	펼	2
弗	불, 불	아닐, 말	2
匪	비, 분	비적, 나눌	2
飼	사	기를	2
赦	사	용서할	2
唆	사	부추길	2
酸	산	실	2
傘	산	우산	2
蔘	삼	삼	2
揷	삽	꽂을	2
箱	상	상자	2
瑞	서	상서	2
碩	석	클	2
繕	선	기울	2
纖	섬	가늘	2
貰	세	세낼	2
紹	소, 초	이을, 느슨할	2
盾	순, 돈, 윤	방패, 사람 이름, 벼슬 이름	2
升	승, 승	되, 오를	2
屍	시	주검	2
殖	식	불릴	2
腎	신	콩팥	2
紳	신	띠	2
握	악, 옥	쥘, 작을	2
癌	암	암	2
礙	애, 의	거리낄, 푸른 돌	2
惹	야, 약	이끌, 가벼울	2
孃	양(냥)	아가씨	2
硯	연, 연, 견	벼루, 갈, 곱고 윤택한 돌	2
厭	염, 엽, 암	싫어할, 누를, 빠질	2
預	예, 예	맡길, 미리	2
梧	오, 어	오동나무, 악기 이름	2
穩	온, 은	편안할, 편안할	2
歪	왜, 외	기울, 기울	2
妖	요	요사할	2
熔	용	쇠 녹일	2
傭	용, 총	품 팔, 고를	2
鬱	울, 울	답답할, 울창할	2
