Hanja	Reading(s)	Meaning(s)	Grade
禮	례(예)	예도	6
例	례(예)	법식	6
路	로(노), 락(낙)	길, 울짱	6
綠	록(녹)	푸를	6
李	리(이), 리(이)	오얏, 성씨	6
目	목	눈	6
美	미	아름다울	6
米	미	쌀	6
朴	박, 복, 부	성씨, 칠, 성씨	6
番	번, 파, 반	차례, 날랠, 땅 이름	6
別	별, 별	나눌, 다를	6
病	병	병	6
服	복	옷	6
本	본	근본	6
死	사	죽을	6
使	사, 사, 시	하여금, 부릴, 보낼	6
石	석	돌	6
席	석	자리	6
速	속	빠를	6
孫	손	손자	6
樹	수	나무	6
習	습	익힐	6
勝	승	이길	6
式	식	법	6
失	실, 일	잃을, 놓을	6
愛	애	사랑	6
野	야, 여, 서	들, 변두리, 농막	6
夜	야, 액	밤, 고을 이름	6
陽	양	볕	6
洋	양	큰 바다	6
言	언, 은	말씀, 화기애애할	6
永	영, 영	길, 읊을	6
英	영, 영, 앙	꽃부리, 뛰어날, 못자리의 모	6
溫	온	따뜻할	6
遠	원	멀	6
園	원	동산	6
由	유, 요	말미암을, 여자의 웃는 모양	6
油	유	기름	6
銀	은	은	6
醫	의	의원	6
衣	의	옷	6
者	자	놈	6
章	장	글	6
在	있을	있	6
定	정, 정	정할, 이마	6
朝	조, 주	아침, 고을 이름	6
族	족, 주	겨레, 풍류 가락	6
晝	주	낮	6
親	친	친할	6
太	태	클	6
通	통	통할	6
特	특, 특	특별할, 수컷	6
合	합, 합, 홉	합할, 쪽문, 홉	6
行	행, 항	다닐, 항렬	6
向	향, 상	향할, 성씨	6
號	호, 호	이름, 부르짖을	6
畫	화, 획	그림, 그을	6
黃	황	누를	6
訓	훈, 순	가르칠, 길	6
價	가	값	5
客	객	손	5
格	격, 각, 락(낙), 학	격식, 가지, 마을, 별 이름	5
見	견, 현	볼, 뵈올	5
結	결, 계	맺을, 상투	5
決	결, 혈	결단할, 빠를	5
敬	경	공경	5
告	고, 곡, 국	고할, 뵙고 청할, 국문할	5
過	과, 화	지날, 재앙	5
課	과, 과	공부할, 과정	5
關	관, 완	관계할, 당길	5
觀	관	볼	5
廣	광	넓을	5
舊	구, 구	예, 옛	5
具	구	갖출	5
局	국	판	5
己	기	몸	5
基	기	터	5
念	념(염)	생각	5
能	능, 내	능할, 견딜	5
團	단, 단	둥글, 경단	5
當	당	마땅	5
德	덕, 덕	큰, 덕	5
到	도	이를	5
獨	독	홀로	5
朗	랑(낭)	밝을	5
良	량(양)	어질	5
旅	려(여)	나그네	5
歷	력(역), 력(역)	지날, 책력	5
練	련(연)	익힐	5
勞	로(노)	일할	5
類	류(유), 뢰(뇌)	무리, 치우칠	5
流	류(유)	흐를	5
陸	륙(육)	뭍	5
望	망, 망	바랄, 보름	5
法	법	법	5
變	변	변할	5
兵	병	병사	5
福	복, 부	복, 간직할	5
奉	봉	받들	5
士	사	선비	5
史	사	사기	5
仕	사, 사	섬길, 벼슬	5
産	산	낳을	5
相	상, 양	서로, 빌	5
商	상	장사	5
鮮	선, 선	고울, 생선	5
仙	선	신선	5
說	설, 세, 열, 탈	말씀, 달랠, 기뻐할, 벗을	5
性	성	성품	5
洗	세, 선	씻을, 깨끗할	5
歲	세	해	5
束	속, 속	묶을, 약속할	5
首	수	머리	5
宿	숙, 수	잘, 별자리	5
順	순	순할	5
識	식, 지, 치	알, 적을, 깃발	5
臣	신	신하	5
實	실, 지	열매, 이를	5
兒	아, 예	아이, 다시 난 이	5
惡	악, 오	악할, 미워할	5
約	약, 요, 적	맺을, 부절, 기러기발	5
養	양	기를	5
要	요	요긴할	5
雨	우	비	5
友	우	벗	5
元	원	으뜸	5
偉	위	클	5
以	이	써	5
任	임, 임	맡길, 맞을	5
財	재	재물	5
材	재	재목	5
的	적	과녁	5
展	전	펼	5
典	전	법	5
傳	전	전할	5
節	절	마디	5
切	절, 체	끊을, 온통	5
店	점	가게	5
情	정	뜻	5
調	조, 주	고를, 아침	5
卒	졸, 쉬	마칠, 버금	5
種	종	씨	5
週	주	돌	5
州	주	고을	5
知	지	알	5
質	질, 지	바탕, 폐백	5
着	착, 저	붙을, 나타날	5
參	참, 삼	참여할, 석	5
責	책, 채	꾸짖을, 빚	5
充	충	채울	5
宅	택, 댁, 탁	집, 댁, 터질	5
品	품	물건	5
筆	필	붓	5
必	필	반드시	5
害	해, 할	해할, 어느	5
化	화, 와	될, 잘못	5
效	효	본받을	5
凶	흉	흉할	5
可	가, 극	옳을, 오랑캐 임금 이름	5
加	가	더할	5
改	개	고칠	5
擧	거	들	5
去	거	갈	5
建	건, 건	세울, 엎지를	5
健	건	굳셀	5
件	건	물건	5
輕	경	가벼울	5
競	경	다툴	5
景	경, 영	볕, 그림자	5
考	고, 고	생각할, 살필	5
固	고	굳을	5
曲	곡, 곡	굽을, 누룩	5
橋	교, 고	다리, 빠를	5
救	구	구원할	5
貴	귀	귀할	5
規	규	법	5
給	급	줄	5
汽	기, 흘, 헐	물 끓는 김, 거의, 소금 못	5
期	기	기약할	5
技	기	재주	5
吉	길	길할	5
壇	단, 탄, 선	단, 평탄할, 소제할	5
談	담	말씀	5
都	도, 지	도읍, 못	5
島	도	섬	5
落	락(낙)	떨어질	5
冷	랭(냉), 령(영)	찰, 물소리	5
